2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
CA5B	0.428571428571429	NA	NA	NA	0.333333333333333	NA	0.461538461538462	0.833333333333333	NA	0.333333333333333	NA	0.5	0.25	NA	0.2	NA	NA	NA	NA	NA	NA	0.461538461538462
CCDC22	NA	NA	NA	NA	NA	NA	NA	0.0641025641025641	NA	NA	NA	0.0425531914893617	NA	NA	NA	NA	NA	NA	NA	NA	0.204545454545455	NA
CD99	0.473060344827586	NA	NA	0.57847566307199	NA	NA	NA	NA	0.244897959183673	0.723926380368098	NA	0.510297482837529	0.889616743680348	NA	NA	0.754827235772358	0.523255813953488	0.116503737780333	0.405287939152481	NA	0.582022146303279	NA
CD99L2	0.112676056338028	NA	0.422222222222222	NA	NA	0.171829407876707	0.217815665925377	0.171428571428571	NA	0.112041467304625	0.0373030583873957	0.121212121212121	NA	NA	NA	NA	NA	NA	NA	NA	0.16510128052124	0.404829845698584
CDKL5	0.428571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPI	NA	NA	0.260119047619048	NA	NA	0.354166666666667	NA	NA	0.213474462365591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.272680623973728	NA
CFP	0.193548387096774	NA	NA	NA	NA	0.166666666666667	NA	NA	0.392857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHIC1	NA	NA	NA	NA	NA	0.318181818181818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.285714285714286	NA
CHM	0.233333333333333	NA	0.842105263157895	0.1875	0.2	NA	NA	NA	0.333333333333333	0.480235042735043	NA	NA	0.708333333333333	NA	0.359788359788359	NA	NA	NA	NA	NA	0.137931034482759	NA
CHST7	0.166666666666667	NA	0.208333333333333	NA	NA	0.259259259259259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLIC2	NA	NA	NA	NA	NA	NA	NA	NA	0.342857142857143	NA	NA	0.380952380952381	NA	NA	NA	NA	NA	NA	NA	NA	0.567460317460317	NA
CSTF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0491803278688525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTPS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197368421052632
CUL4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.184395604395604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXorf38	NA	NA	NA	0.187502952988424	NA	NA	0.329545454545455	NA	0.343283582089552	0.121076595096696	0.0646551724137931	0.173076923076923	NA	NA	NA	0.233009708737864	NA	0.142857142857143	0.173482640486782	NA	NA	0.381794716064379
CYBB	NA	NA	NA	0.130801687763713	NA	0.296551724137931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.207407407407407
CYSLTR1	NA	NA	0.304347826086957	NA	NA	NA	NA	NA	0.150432900432901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX3X	0.375	NA	NA	0.733840304182509	0.52	NA	0.727272727272728	0.576813301078007	0.544642857142857	0.857142857142857	NA	0.711316397228637	0.812709590878605	NA	NA	0.502645502645502	0.555555555555556	NA	0.517399267399268	0.45453125912745	0.634989200863931	NA
DHRSX	NA	NA	NA	0.734796020510306	NA	NA	0.778231570349194	1	0.555555555555556	0.585229472424594	0.621112894596041	NA	0.804450549450549	NA	NA	0.675287356321839	0.71306161745828	NA	0.866551724137931	0.789047619047619	NA	NA
DIAPH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.325757575757576
DKC1	NA	NA	0.276649746192893	NA	NA	NA	NA	0.0564516129032258	NA	NA	NA	0.0952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLG3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	0.222222222222222	NA
DMD	NA	NA	0.666666666666667	NA	NA	NA	NA	0.0821917808219178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.193548387096774	NA
DNASE1L1	NA	NA	NA	NA	NA	0.12489707475623	NA	NA	0.212180026309547	0.105769230769231	0.0333333333333333	NA	NA	NA	NA	0.125	NA	NA	NA	NA	NA	NA
DOCK11	NA	NA	0.346590909090909	0.111111111111111	NA	0.132075471698113	NA	0.0653733008723879	0.258064516129032	NA	0.0481997677119629	NA	NA	NA	NA	0.103448275862069	NA	NA	NA	NA	0.191011235955056	0.325
DYNLT3	NA	NA	0.262295081967213	0.173913043478261	NA	0.189189189189189	NA	NA	0.30379746835443	NA	NA	0.291666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.156862745098039	0.2
EDA2R	NA	NA	NA	NA	NA	0.210526315789474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
