2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
GNL3L	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPKOW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR174	NA	NA	0.0756538215179605	0	0.103448275862069	0.0243902439024394	0.0573234950312483	NA	0.596774193548387	0.11932890841282	0.0418118466898954	0.15695415081507	NA	NA	NA	NA	0.142857142857143	NA	0.0505266509779891	NA	0	0
GRIPAP1	NA	NA	0.0520758339332858	NA	NA	NA	0	0.00166389351081534	0.0838375108038031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00195694716242685	0.0263459335624279
GSPT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.032258064516129	NA
GTPBP6	NA	NA	NA	0.872315194637045	NA	NA	0.816931024219675	0.894200250072136	0.639496416565651	0.847806212806062	NA	0.91995197118271	NA	NA	NA	NA	0.869047619047619	0.803571428571428	0.927007299270073	0.771612903225807	0.727107337780473	NA
HCCS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00816802800466707	NA
HCFC1	NA	NA	NA	NA	0.135642414860681	0	0.00798211259414516	NA	NA	NA	0.00439439714364185	NA	NA	NA	NA	0.239130434782609	NA	NA	0	NA	0.0350638760532748	NA
HDAC8	0.181818181818182	NA	NA	0.0769230769230769	NA	0	0.0163934426229509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	0.099836333878887
HMGB3	NA	NA	0	0	NA	0.102564102564103	0.0163788897491713	NA	0.248509976677896	NA	NA	0.0245805696449477	NA	NA	NA	NA	NA	NA	0	NA	0.122807017543859	NA
HNRNPH2	NA	NA	NA	NA	NA	NA	0.014261744966443	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
HTATSF1	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUWE1	NA	NA	0.0105263157894731	0.00552486187845318	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0163012928611575	NA
IDH3G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.169435215946844
IDS	NA	NA	NA	0	NA	0	NA	NA	0.0538365649244625	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL3RA	0.653543307086614	NA	NA	0.792387543252595	NA	NA	0.408982605682693	0.674394363202795	0.324555424939915	NA	NA	0.820466786355475	0.6	NA	NA	0.638998682476944	NA	0.671674491392801	NA	0.535714285714286	0.936521371138383	NA
